Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0000245,spliceosomal complex assembly,19_GO:0009987 cellular process,-3.9,30,9.2,21222,50,42,3,7.1,4,13046|72459|192196,Celf1|Htatsf1|Luc7l2,0,MyList
GO Biological Processes,19,GO:0000398,"mRNA splicing, via spliceosome",19_GO:0009987 cellular process,-2.9,8.6,5.2,21222,234,42,4,9.5,4.5,13046|20637|72459|192196,Celf1|Snrnp70|Htatsf1|Luc7l2,0,MyList
GO Biological Processes,19,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",19_GO:0009987 cellular process,-2.9,8.6,5.2,21222,234,42,4,9.5,4.5,13046|20637|72459|192196,Celf1|Snrnp70|Htatsf1|Luc7l2,0,MyList
GO Biological Processes,19,GO:0000375,"RNA splicing, via transesterification reactions",19_GO:0009987 cellular process,-2.9,8.6,5.2,21222,235,42,4,9.5,4.5,13046|20637|72459|192196,Celf1|Snrnp70|Htatsf1|Luc7l2,0,MyList
GO Biological Processes,19,GO:0022613,ribonucleoprotein complex biogenesis,19_GO:0009987 cellular process,-2.8,5.8,4.5,21222,435,42,5,12,5,13046|72459|101592|192196|227674,Celf1|Htatsf1|Efl1|Luc7l2|Ddx31,0,MyList
GO Biological Processes,19,GO:0022618,protein-RNA complex assembly,19_GO:0009987 cellular process,-2.3,8.4,4.5,21222,180,42,3,7.1,4,13046|72459|192196,Celf1|Htatsf1|Luc7l2,0,MyList
GO Biological Processes,19,GO:0071826,protein-RNA complex organization,19_GO:0009987 cellular process,-2.2,8,4.3,21222,189,42,3,7.1,4,13046|72459|192196,Celf1|Htatsf1|Luc7l2,0,MyList
GO Biological Processes,19,GO:0008380,RNA splicing,19_GO:0009987 cellular process,-2.2,5.4,3.8,21222,377,42,4,9.5,4.5,13046|20637|72459|192196,Celf1|Snrnp70|Htatsf1|Luc7l2,0,MyList
GO Biological Processes,19,GO:0016071,mRNA metabolic process,19_GO:0009987 cellular process,-2.1,4,3.4,21222,637,42,5,12,5,13046|20637|71997|72459|192196,Celf1|Snrnp70|Smg9|Htatsf1|Luc7l2,0,MyList
GO Biological Processes,19,GO:0006397,mRNA processing,19_GO:0009987 cellular process,-1.9,4.4,3.3,21222,460,42,4,9.5,4.5,13046|20637|72459|192196,Celf1|Snrnp70|Htatsf1|Luc7l2,0,MyList
KEGG Pathway,24,mmu04010,MAPK signaling pathway - Mus musculus (house mouse),,-1.7,5.1,3.2,21222,299,42,3,7.1,4,12300|19395|240168,Cacng2|Rasgrp2|Rasgrp3,0,MyList
GO Biological Processes,19,GO:0007059,chromosome segregation,19_GO:0009987 cellular process,-1.5,4.4,2.8,21222,346,42,3,7.1,4,28135|68953|212307,Cep63|Chmp2a|Mapre2,0,MyList
GO Biological Processes,19,GO:0140694,membraneless organelle assembly,19_GO:0009987 cellular process,-1.4,4,2.6,21222,375,42,3,7.1,4,28135|101592|212307,Cep63|Efl1|Mapre2,0,MyList
GO Biological Processes,19,GO:0010038,response to metal ion,19_GO:0050896 response to stimulus,-1.4,4,2.6,21222,377,42,3,7.1,4,12300|19395|56461,Cacng2|Rasgrp2|Kcnip3,0,MyList
GO Biological Processes,19,GO:0050808,synapse organization,19_GO:0009987 cellular process,-1.3,3.7,2.4,21222,415,42,3,7.1,4,12300|56410|241568,Cacng2|Cbln3|Lrrc4c,0,MyList
