Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidencePPI:MyList
20867,2.0,1,1
12469,2.0,1,1
19184,2.0,1,1
14228,2.0,1,1
24030,2.0,1,1
67661,2.0,1,1
13002,2.0,1,1
381085,2.0,1,1
110175,1.0,1,0
76500,1.0,1,0
68603,1.0,1,0
50492,1.0,1,0
27059,1.0,1,0
67826,1.0,1,0
18648,1.0,1,0
93843,1.0,1,0
66590,1.0,1,0
319262,1.0,1,0
60365,1.0,1,0
54402,1.0,1,0
94249,1.0,1,0
66102,1.0,1,0
74718,1.0,1,0
72747,1.0,1,0
18611,1.0,1,0
14950,1.0,1,0
69161,1.0,1,0
69638,1.0,1,0
19139,1.0,1,0
214663,1.0,1,0
12716,1.0,1,0
243339,1.0,1,0
24117,1.0,1,0
21407,1.0,1,0
23934,1.0,1,0
