,row1,row2,distance,num
0,8.0,16.0,4.322742093225605,2.0
1,3.0,25.0,5.234696157975689,3.0
2,21.0,26.0,5.7863857908784295,4.0
3,20.0,27.0,6.5186018180023035,5.0
4,0.0,28.0,6.640862182739291,6.0
5,9.0,29.0,7.2499443824599945,7.0
6,7.0,30.0,7.761647055877715,8.0
7,22.0,31.0,8.282502611986326,9.0
8,15.0,32.0,8.571952548181239,10.0
9,5.0,33.0,9.237001940484415,11.0
10,24.0,34.0,9.681300404619792,12.0
11,17.0,35.0,10.082288061820623,13.0
12,4.0,36.0,10.866141353111303,14.0
13,1.0,37.0,11.063106305925213,15.0
14,23.0,38.0,12.500635960123972,16.0
15,6.0,39.0,12.542154067187013,17.0
16,14.0,40.0,13.41910382861098,18.0
17,2.0,41.0,13.609176134343562,19.0
18,18.0,42.0,14.442201230315478,20.0
19,19.0,43.0,14.481948110823934,21.0
20,13.0,44.0,14.873792026742768,22.0
21,10.0,45.0,14.923133272278124,23.0
22,12.0,46.0,15.466810587708206,24.0
23,11.0,47.0,15.872841612693012,25.0
